Date,Close
2010-09-09,100.0
2010-09-10,100.45406338884403
2010-09-13,101.71739632975229
2010-09-14,101.69762887201183
2010-09-15,101.95424695804942
2010-09-16,101.91477185333324
2010-09-17,102.01345961512371
2010-09-20,103.67155357165466
2010-09-21,103.35570289162119
2010-09-22,102.80304145713377
2010-09-23,101.95424695804942
2010-09-24,104.03615002493612
2010-09-27,103.53996988926735
2010-09-28,104.21475493685529
2010-09-29,103.71858476964731
2010-09-30,103.55985696853725
2010-10-01,103.91704685545402
2010-10-04,103.04380969052016
2010-10-05,105.30635123532655
2010-10-06,105.12769648110343
2010-10-07,105.0681548648232
2010-10-08,105.8620331134324
2010-10-11,105.68341823305245
2010-10-12,106.29864172743855
2010-10-13,106.93376226955536
2010-10-14,106.53684806640271
2010-10-15,106.73530018374863
2010-10-18,107.50932125847032
2010-10-19,105.80252140253452
2010-10-20,106.93376226955536
2010-10-21,107.09251997604778
2010-10-22,107.35053364659555
2010-10-25,107.66812880726668
2010-10-26,107.64826166491837
2010-10-27,107.31085917266361
2010-10-28,107.39022805744905
2010-10-29,107.46963681607762
2010-11-01,107.52915849543629
2010-11-02,108.36270124951666
2010-11-03,108.81916703741035
2010-11-04,110.86340925944404
2010-11-05,111.3000776842149
2010-11-08,111.16106749854136
2010-11-09,110.28786023898986
2010-11-10,110.70464158449083
2010-11-11,110.34740185527012
2010-11-12,108.9779745862067
2010-11-15,108.87874852753374
2010-11-16,107.13223432382286
2010-11-17,107.21165305091222
2010-11-18,108.79935970582673
2010-11-19,109.05733350253135
2010-11-22,108.95810744385838
2010-11-23,107.42996234214569
2010-11-24,108.81916703741035
2010-11-26,108.20394354302422
2010-11-29,108.10468757896889
2010-11-30,107.35053364659555
2010-12-01,109.77182292943357
2010-12-02,111.20079181477722
2010-12-03,111.47866265921252
2010-12-06,111.33971228430369
2010-12-07,111.37943660053955
2010-12-08,111.83586251459008
2010-12-09,112.25269370239499
2010-12-10,112.92744884460058
2010-12-13,112.98697052395926
2010-12-14,113.04651214023949
2010-12-15,112.55035194149232
2010-12-16,113.20530972057507
2010-12-17,113.36404749014592
2010-12-20,113.6022438606493
2010-12-21,114.2968661452032
2010-12-22,114.71369733300808
2010-12-23,114.53503261032421
2010-12-27,114.62074143617009
2010-12-28,114.74038290253468
2010-12-29,114.84003760502148
2010-12-30,114.66064518470012
2010-12-31,114.78025674568232
2011-01-03,115.85687044759088
2011-01-04,115.75719580818249
2011-01-05,116.37528025081446
2011-01-06,116.17587116123298
2011-01-07,115.93666797619014
2011-01-10,115.83694349447782
2011-01-11,116.21579484668459
2011-01-12,117.25254467390623
2011-01-13,117.09302936439398
2011-01-14,117.93039003895575
2011-01-18,118.12974928623328
2011-01-19,116.95347091337716
2011-01-20,116.81389252543877
2011-01-21,117.07305256897702
2011-01-24,117.79084155639971
2011-01-25,117.75095774479125
2011-01-26,118.36900231358007
2011-01-27,118.52849768617074
2011-01-28,116.43508104707516
2011-01-31,117.33229236020155
2011-02-01,119.16646920807258
2011-02-02,118.9671298977166
2011-02-03,119.26621362670646
2011-02-04,119.58519440342698
2011-02-07,120.34284726553656
2011-02-08,120.90108106960389
2011-02-09,120.60201727753561
2011-02-10,120.64190108914406
2011-02-11,121.39952404587126
2011-02-14,121.69856790101797
2011-02-15,121.25996559485444
2011-02-16,122.03747563085155
2011-02-17,122.49608463781443
2011-02-18,122.69543391663117
2011-02-22,120.18333195602433
2011-02-23,119.50546665405324
2011-02-24,119.38582518768868
2011-02-25,120.68174502690935
2011-02-28,121.39952404587126
2011-03-01,119.32602439142796
2011-03-02,119.6649520581831
2011-03-03,121.71848488567024
2011-03-04,120.82132341484777
2011-03-07,119.7646266975915
2011-03-08,120.8811142426477
2011-03-09,120.7416056339348
2011-03-10,118.52849768617074
2011-03-11,119.32602439142796
2011-03-14,118.62821219942225
2011-03-15,117.31236540708852
2011-03-16,115.07933050621139
2011-03-17,116.51477889106656
2011-03-18,117.0132617411771
2011-03-21,118.78771754047371
2011-03-22,118.36900231358007
2011-03-23,118.74781379194368
2011-03-24,119.86434121084302
2011-03-25,120.22081336858315
2011-03-28,119.96045710975045
2011-03-29,120.74150594932694
2011-03-30,121.56260806434523
2011-03-31,121.4023949625779
2011-04-01,121.96313085030272
2011-04-04,122.0231908265439
2011-04-05,122.0231908265439
2011-04-06,122.38371017936352
2011-04-07,122.16339722751188
2011-04-08,121.70272474916611
2011-04-11,121.28225507317399
2011-04-12,120.40107304499294
2011-04-13,120.44108644659164
2011-04-14,120.46113302123412
2011-04-15,120.88170238183412
2011-04-18,119.55994429225373
2011-04-19,120.3009199194668
2011-04-20,121.92309751178247
2011-04-21,122.46381673024717
